,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
161,GHGSat-AV,2,162.0,2022-11-07,20:01:17,True,True,20.0,23.0,16.0,1-sigma,1.785,GH-1,True
162,GHGSat-AV,2,163.0,2022-11-07,20:05:45,True,True,30.0,35.0,24.0,1-sigma,2.332,GH-1,True
163,GHGSat-AV,2,164.0,2022-11-07,20:09:17,False,True,,,,1-sigma,,GH-1,True
164,GHGSat-AV,2,165.0,2022-11-07,20:13:58,False,True,,,,1-sigma,,GH-1,True
165,GHGSat-AV,2,166.0,2022-11-07,20:18:13,True,True,15.0,18.0,12.0,1-sigma,3.092,GH-1,True
166,GHGSat-AV,2,167.0,2022-11-07,20:22:27,True,True,14.0,17.0,12.0,1-sigma,0.634,GH-1,True
167,GHGSat-AV,2,168.0,2022-11-07,20:26:19,True,True,16.0,19.0,13.0,1-sigma,1.277,GH-1,True
168,GHGSat-AV,2,169.0,2022-11-07,20:31:03,True,True,12.0,14.0,9.0,1-sigma,0.886,GH-1,True
169,GHGSat-AV,2,170.0,2022-11-07,20:35:34,True,True,44.0,52.0,35.0,1-sigma,3.432,GH-2,True
170,GHGSat-AV,2,171.0,2022-11-07,20:40:39,True,True,22.0,26.0,18.0,1-sigma,0.795,GH-2,True
171,GHGSat-AV,2,172.0,2022-11-07,20:44:51,False,False,,,,1-sigma,,GH-5,False
172,GHGSat-AV,2,173.0,2022-11-07,20:49:25,True,True,29.0,35.0,23.0,1-sigma,1.597,GH-1,True
173,GHGSat-AV,2,174.0,2022-11-07,20:53:35,True,True,21.0,25.0,17.0,1-sigma,4.211,GH-2,True
174,GHGSat-AV,2,175.0,2022-11-07,20:57:43,True,True,18.0,22.0,15.0,1-sigma,5.502,GH-1,True
175,GHGSat-AV,2,176.0,2022-11-07,21:02:09,True,True,16.0,19.0,13.0,1-sigma,4.758,GH-1,True
176,GHGSat-AV,2,177.0,2022-11-07,21:06:54,True,True,15.0,18.0,12.0,1-sigma,2.583,GH-1,True
177,GHGSat-AV,2,178.0,2022-11-07,21:10:43,True,True,16.0,20.0,13.0,1-sigma,2.687,GH-1,True
178,GHGSat-AV,2,179.0,2022-11-07,21:15:28,True,True,24.0,29.0,19.0,1-sigma,3.764,GH-1,True
179,GHGSat-AV,2,180.0,2022-11-07,21:19:16,False,True,,,,1-sigma,,GH-1,True
180,GHGSat-AV,2,181.0,2022-11-07,21:23:44,True,True,37.0,44.0,29.0,1-sigma,4.094,GH-2,True
181,GHGSat-AV,2,182.0,2022-11-07,21:27:47,True,True,39.0,46.0,31.0,1-sigma,6.054,GH-1,True
182,GHGSat-AV,2,183.0,2022-11-07,21:32:05,True,True,23.0,28.0,18.0,1-sigma,4.663,GH-1,True
183,GHGSat-AV,2,184.0,2022-11-07,21:36:04,True,True,19.0,23.0,15.0,1-sigma,8.245,GH-1,True
184,GHGSat-AV,2,185.0,2022-11-07,21:40:39,True,True,11.0,13.0,9.0,1-sigma,4.809,GH-1,True
185,GHGSat-AV,2,186.0,2022-11-07,21:44:26,True,True,29.0,35.0,23.0,1-sigma,5.904,GH-1,True
186,GHGSat-AV,2,187.0,2022-11-07,21:48:53,True,True,17.0,20.0,13.0,1-sigma,4.049,GH-1,True
187,GHGSat-AV,2,188.0,2022-11-07,21:52:46,True,True,17.0,21.0,14.0,1-sigma,3.098,GH-1,True
188,GHGSat-AV,2,189.0,2022-11-07,21:57:17,True,True,27.0,32.0,21.0,1-sigma,8.798,GH-1,True
189,GHGSat-AV,2,190.0,2022-11-07,22:01:28,False,True,,,,1-sigma,,GH-1,True
190,GHGSat-AV,2,191.0,2022-11-07,22:05:48,False,True,,,,1-sigma,,GH-1,True
191,GHGSat-AV,2,192.0,2022-11-07,22:09:36,False,True,,,,1-sigma,,GH-1,True
