,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,QC_lax,UnblindingStage,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
164,NJU,PRISMA,6,1,1,10/21/22 18:19,18:19:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,SE,1,10/21/22 18:19,10/21/22 18:19,10/21/22 18:14,0,0,,,,,
165,NJU,PRISMA,2,1,1,10/27/22 0:00,18:23:00,18:23:00,18:24:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_PRISMA.xlsx,OK,OK,1,10/27/22 18:23,10/27/22 18:23,10/27/22 18:18,565.8108,4.440251588,0.721697449,0.950644,0.001365767,537.8846422,4.345749842
166,NJU,PRISMA,7,1,1,11/1/22 18:09,18:09:00,,,,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,"PRISMA cancelled acquisition: ""11/01 - Request not plannable for bad weather forecast""",,NT,NT,1,11/1/22 18:09,11/1/22 18:09,11/1/22 18:04,756.82656,3.09072972,0.96534,0.95034125,0.002693054,719.2434991,3.690963068
167,NJU,PRISMA,8,1,1,11/2/22 18:26,18:26:00,,,,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,"PRISMA cancelled acquisition: ""11/02 - Request not geometrically feasible""",,NT,NT,1,11/2/22 18:26,11/2/22 18:26,11/2/22 18:21,,,,,,,
168,NJU,PRISMA,3,1,1,11/7/22 0:00,18:13:09,18:13:00,18:14:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_PRISMA.xlsx,OK,OK,1,11/7/22 18:13,11/7/22 18:13,11/7/22 18:08,435.30708,1.170553061,0.555238622,0.95034125,0.002693054,413.6902745,1.700064852
169,NJU,PRISMA,9,1,1,11/13/22 18:16,18:16:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,LARS and NJU were informed of no releases on weekends. LARS requested PRISMA cancelled releases on November 10.,,SE,SE,1,11/13/22 18:16,11/13/22 18:16,11/13/22 18:11,0,0,,,,,
170,NJU,PRISMA,10,1,1,11/19/22 18:19,18:19:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,LARS and NJU were informed of no releases on weekends. LARS requested PRISMA cancelled releases on November 10.,,SE,SE,1,11/19/22 18:19,11/19/22 18:19,11/19/22 18:14,0,0,,,,,
171,NJU,PRISMA,4,1,1,11/25/22 0:00,18:23:01,18:23:00,18:24:00,,Methane,0,0,0,,0,0,0,,335,,,2022_DataReporting_PRISMA.xlsx,OK,OK,1,11/25/22 18:23,11/25/22 18:23,11/25/22 18:18,0,0,,,,,
172,NJU,PRISMA,5,1,1,11/30/22 0:00,18:09:52,18:09:00,18:10:00,,Methane,1178,1533,822,0.3,0.9602,1.2203,0.7001,0.15,,,,2022_DataReporting_Sentinel-2.xlsx,OK,OK,1,11/30/22 18:09,11/30/22 18:09,11/30/22 18:04,1059.50532,57.93443093,1.351409847,0.9422685,0.000995117,998.3384886,54.61481704
173,NJU,Sentinel-2,1,1,1,10/18/22 17:49,17:49:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,SE,1,10/18/22 17:49,10/18/22 17:49,10/18/22 17:44,0,0,0,0.9390905,0,0,0
